date,total_refugees
2022-02-24,78212
2022-02-25,177410
2022-02-26,318749
2022-02-27,484523
2022-02-28,644506
2022-03-01,808608
2022-03-02,977110
2022-03-03,1159161
2022-03-04,1327472
2022-03-05,1522468
2022-03-06,1723218
2022-03-07,1926941
2022-03-08,2107341
2022-03-09,2274053
2022-03-10,2404900
2022-03-11,2521721
2022-03-12,2634081
2022-03-13,2788814
2022-03-14,2899770
2022-03-15,3007348
2022-03-16,3108615
2022-03-17,3192641
2022-03-18,3271682
2022-03-19,3344825
2022-03-20,3404588
2022-03-21,3463658
2022-03-22,3528369
2022-03-23,3590977
2022-03-24,3658174
2022-03-25,3720662
2022-03-26,3781632
2022-03-27,3838235
2022-03-28,3886797
2022-03-29,3929593
2022-03-30,3981534
2022-03-31,4035153
2022-04-01,4083796
2022-04-02,4134787
2022-04-03,4184651
2022-04-04,4229892
2022-04-05,4279617
2022-04-06,4335320
2022-04-07,4391316
2022-04-08,4450848
2022-04-09,4513521
2022-04-10,4570545
2022-04-11,4624830
2022-04-12,4680556
2022-04-13,4737046
2022-04-14,4796245
2022-04-15,4850985
2022-04-16,4896662
2022-04-17,4935675
2022-04-18,4980853
2022-04-19,5034439